name,legislature,tiktok_username,tiktok_url,subscribers,confidence,raw_score,sources,num_sources,verified,mentions_depute,mentions_party,party_name,bio
Antoine Léaument,XV,aleaument,https://www.tiktok.com/@aleaument,902500,0.8970794068462485,185,"twitter,variant",2,True,True,True,LFI,"Député LFI de Grigny, Sainte-Geneviève, Saint-Michel, Morsang, Fleury 🇫🇷🔺"
Nadège Abomangoli,XVI,nadegeabomangoli,https://www.tiktok.com/@nadegeabomangoli,13400,0.7261213326778908,80,variant,1,False,True,True,LFI,Députée La France Insoumise -  VP Assemblée nationale #Aulnay #Bondy #Pavillons
Ludovic Pajot,XV,ludovic.pajot,https://www.tiktok.com/@ludovic.pajot,102,0.20753110938689934,15,variant,1,False,False,False,,
Typhanie Degois,XV,degoist,https://www.tiktok.com/@degoist,46,0.27801871324896515,12,variant,1,False,False,False,,
Victor Habert-Dassault,XV,vhd,https://www.tiktok.com/@vhd,59,0.717421535680623,12,variant,1,False,False,False,,
Lénaïck Adam,XV,la,https://www.tiktok.com/@la,4962,0.1604106504123035,35,variant,1,False,False,False,,
